LAD23NM,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
Chorley,117738,6065,6970,6988,5864,5341,6608,7658,7810,7350,8026,8987,8655,7287,6399,7008,4953,3186,2583
City of London,8579,216,160,174,216,964,1213,1002,726,546,543,641,517,460,393,316,208,163,121
Colchester,192734,10834,11801,11612,11262,13884,12579,13511,12902,12589,12412,13032,11988,10027,8583,9696,6928,4573,4521
Conwy,114759,5035,5899,6263,5501,5002,5565,6167,5861,5681,6630,8245,9017,8521,7875,8493,6209,4305,4490
Cornwall,570337,25524,30266,31223,29271,28609,28487,31503,30935,31339,34739,40721,43109,40468,37403,40392,29443,18768,18137
Cotswold,90853,4015,4618,4961,4384,3962,4013,4571,4875,5092,5900,6878,7417,6495,6011,6311,4831,3261,3258
County Durham,522076,24767,28359,29510,31242,33051,29210,30669,30632,29176,31650,37926,39441,35131,31029,30717,21734,15056,12776
Coventry,345293,20436,21965,22108,25412,31572,24477,25551,24064,21766,20260,21449,19606,16313,13380,12667,9981,7215,7071
Crawley,118477,7638,8073,7834,6500,6554,8619,9986,9781,8975,7841,7744,7134,6056,4627,4206,2666,1930,2313
Croydon,390665,25161,24974,25419,22342,21618,27539,31611,31137,28619,25953,27117,25767,20334,15257,13771,9741,7200,7105
Cumberland,273224,12847,14592,15075,13430,13374,15825,15966,15808,14650,16674,20469,21504,19790,17067,17617,12044,8638,7854
Dacorum,155055,9574,9918,9972,8037,7101,9105,10871,11098,11036,10726,10850,10742,9070,7262,7020,5031,3636,4006
Darlington,107790,5489,6330,6643,5782,5426,6387,6969,6558,6638,6915,7768,7854,7006,5961,5975,4147,3116,2826
Dartford,116780,8283,8267,8034,6219,5633,7919,9869,9629,8754,7837,7655,7064,5564,4351,4258,2972,2259,2213
Denbighshire,95811,4767,5336,5667,5154,4494,5089,5129,4888,4949,5743,6878,7312,6656,6069,6624,4802,3257,2997
